,record,game_id,n,p1,p2,winner,model_choice,model0,model1,model2,model3,model4
0,1,0,0,1,0,1,0,0,0,0,0,0
1,1,0,1,2,0,2,0,0,0,2,2,0
2,1,0,2,1,1,0,0,1,1,0,2,0
3,1,0,3,1,0,1,3,1,0,2,0,0
4,1,0,4,1,2,2,0,2,0,2,0,0
5,1,0,5,0,2,1,0,2,2,2,0,0
6,1,0,6,0,1,2,0,1,2,2,1,0
7,1,0,7,2,1,1,0,1,2,2,0,1
8,1,1,0,2,0,2,0,0,0,0,0,0
9,1,1,1,1,0,1,0,0,1,0,0,0
10,1,1,2,1,0,1,1,1,0,0,2,0
11,1,1,3,0,0,0,3,2,0,2,0,0
12,1,1,4,1,1,0,3,0,2,2,1,0
13,1,1,5,2,0,2,1,2,0,2,1,0
14,1,1,6,0,1,2,1,1,1,2,1,0
15,1,1,7,2,2,0,1,2,2,2,1,1
16,1,1,8,1,1,0,1,1,1,0,1,0
17,1,1,9,2,0,2,1,1,0,2,1,2
18,1,2,0,2,0,2,0,0,0,0,0,0
19,1,2,1,2,0,2,0,0,1,0,0,0
20,1,2,2,1,0,1,0,0,1,0,0,0
21,1,2,3,1,1,0,0,1,0,0,2,0
22,1,2,4,0,2,1,3,2,0,0,2,0
23,1,2,5,0,1,2,3,0,2,0,1,0
24,1,2,6,2,1,1,3,1,2,0,1,0
25,1,2,7,2,0,2,4,2,1,0,1,0
26,1,2,8,1,0,1,4,0,1,0,1,0
27,1,2,9,2,2,0,4,1,0,0,1,2
28,1,2,10,0,0,0,2,0,1,0,1,0
29,1,2,11,0,0,0,2,2,2,0,1,1
30,1,2,12,2,0,2,4,2,2,0,2,0
31,1,2,13,1,0,1,4,1,1,0,2,0
32,1,2,14,1,2,2,4,1,0,0,1,2
33,1,3,0,2,0,2,0,0,0,0,0,0
34,1,3,1,2,0,2,0,0,1,0,0,0
35,1,3,2,1,0,1,0,0,1,0,0,0
36,1,3,3,1,1,0,0,1,0,0,2,0
37,1,3,4,2,2,0,3,2,0,0,2,0
38,1,3,5,0,2,1,3,2,1,0,2,0
39,1,3,6,0,2,1,1,2,2,0,1,0
40,1,3,7,1,1,0,3,2,2,0,1,1
41,1,3,8,2,0,2,1,0,0,0,1,1
42,1,3,9,1,1,0,1,1,1,0,1,0
43,1,3,10,2,0,2,1,0,0,0,1,2
44,1,3,11,0,1,2,1,1,1,0,1,0
45,1,3,12,1,2,2,1,2,2,0,1,0
46,1,4,0,0,0,0,0,0,0,0,0,0
47,1,4,1,1,0,1,0,0,2,1,1,0
48,1,4,2,2,0,2,1,0,0,2,1,0
49,1,4,3,1,1,0,1,1,1,0,1,0
50,1,4,4,1,0,1,1,1,0,2,1,0
51,1,4,5,2,0,2,0,0,0,2,1,0
52,1,4,6,1,2,2,0,2,1,2,1,0
53,1,4,7,0,2,1,0,2,0,2,1,2
54,1,4,8,2,0,2,0,0,2,2,1,1
55,1,5,0,2,0,2,0,0,0,0,0,0
56,1,5,1,1,0,1,0,0,1,0,0,0
57,1,5,2,2,0,2,1,1,0,0,2,0
58,1,5,3,1,1,0,1,1,1,0,2,0
59,1,5,4,1,0,1,1,1,0,0,2,0
60,1,5,5,1,0,1,3,0,0,2,0,0
61,1,5,6,1,0,1,3,2,2,2,0,0
62,1,5,7,1,2,2,2,2,2,2,0,2
63,1,5,8,0,2,1,2,2,2,2,0,2
64,1,5,9,0,2,1,2,1,2,2,1,1
65,1,5,10,0,1,2,0,1,2,2,1,1
66,1,5,11,2,1,1,0,1,1,2,0,1
67,2,0,0,1,0,1,0,0,0,0,0,0
68,2,0,1,1,0,1,0,0,0,2,2,0
69,2,0,2,2,2,0,2,2,0,2,2,0
70,2,0,3,0,1,2,1,1,1,2,0,0
71,2,0,4,2,2,0,1,2,2,2,1,0
72,2,0,5,2,1,1,1,1,1,0,1,0
73,2,0,6,2,0,2,2,1,1,0,1,0
74,2,0,7,1,0,1,2,0,0,0,1,0
75,2,0,8,1,0,1,2,2,0,0,1,0
76,2,1,0,2,0,2,0,0,0,0,0,0
77,2,1,1,1,0,1,0,0,1,0,0,0
78,2,1,2,1,0,1,1,1,0,0,2,0
79,2,1,3,0,0,0,3,2,0,2,0,0
80,2,1,4,1,1,0,3,0,2,2,1,0
81,2,1,5,2,0,2,1,2,0,2,1,0
82,2,1,6,1,1,0,1,1,1,2,1,0
83,2,1,7,1,0,1,1,0,0,2,1,2
84,2,1,8,1,2,2,2,0,0,2,1,2
85,2,1,9,0,2,1,2,2,2,2,1,2
86,2,2,0,2,0,2,0,0,0,0,0,0
87,2,2,1,1,0,1,0,0,1,0,0,0
88,2,2,2,0,0,0,1,1,0,0,2,0
89,2,2,3,0,0,0,0,0,2,0,1,0
90,2,2,4,2,1,1,0,1,2,1,2,0
91,2,2,5,2,2,0,3,2,1,0,2,0
92,2,2,6,1,0,1,2,0,1,0,2,0
93,2,2,7,0,1,2,3,1,0,0,1,2
94,2,2,8,2,2,0,3,0,2,0,2,1
95,2,2,9,1,2,2,3,2,1,0,2,0
96,2,2,10,2,1,1,3,1,0,0,1,0
97,2,3,0,2,0,2,0,0,0,0,0,0
98,2,3,1,1,0,1,0,0,1,0,0,0
99,2,3,2,0,0,0,1,1,0,0,2,0
100,2,3,3,0,0,0,0,0,2,0,1,0
101,2,3,4,2,1,1,0,1,2,1,2,0
102,2,3,5,2,2,0,3,2,1,0,2,0
103,2,3,6,1,0,1,2,0,1,0,2,0
104,2,3,7,0,1,2,3,1,0,0,1,2
105,2,3,8,2,2,0,3,0,2,0,2,1
106,2,3,9,1,2,2,3,2,1,0,2,0
107,2,3,10,2,1,1,3,1,0,0,1,0
108,2,3,11,0,1,2,3,2,1,0,1,0
109,2,4,0,2,0,2,0,0,0,0,0,0
110,2,4,1,1,0,1,0,0,1,0,0,0
111,2,4,2,1,0,1,1,1,0,0,2,0
112,2,4,3,2,0,2,3,2,0,2,0,0
113,2,4,4,1,2,2,3,1,1,0,2,0
114,2,4,5,0,0,0,3,2,0,2,0,0
115,2,4,6,0,1,2,3,0,2,2,1,0
116,2,5,0,2,0,2,0,0,0,0,0,0
117,2,5,1,1,0,1,0,0,1,0,0,0
118,2,5,2,1,0,1,1,1,0,0,2,0
119,2,5,3,1,0,1,3,2,0,2,0,0
120,2,5,4,1,2,2,0,2,2,2,0,0
121,2,6,0,2,0,2,0,0,0,0,0,0
122,2,6,1,1,0,1,0,0,1,0,0,0
123,2,6,2,1,0,1,1,1,0,0,2,0
124,2,6,3,1,0,1,3,2,0,2,0,0
125,2,6,4,1,2,2,0,2,2,2,0,0
126,2,6,5,0,2,1,0,2,2,2,0,0
127,2,6,6,0,1,2,0,1,2,2,1,0
128,2,6,7,2,1,1,0,1,2,2,0,1
129,2,6,8,1,1,0,3,2,1,2,1,0
130,2,6,9,0,1,2,0,1,0,2,1,2
131,2,6,10,2,0,2,0,0,2,2,0,0
132,2,6,11,1,2,2,0,2,1,2,1,0
133,2,6,12,2,1,1,0,1,0,2,1,2
134,2,6,13,0,2,1,0,2,1,2,1,1
135,2,6,14,1,1,0,3,2,2,2,1,2
136,2,6,15,1,0,1,0,0,0,2,1,2
137,2,7,0,2,0,2,0,0,0,0,0,0
138,2,7,1,1,0,1,0,0,1,0,0,0
139,2,7,2,1,0,1,1,1,0,0,2,0
140,2,7,3,1,0,1,3,2,0,2,0,0
141,2,7,4,1,2,2,0,2,2,2,0,0
142,2,7,5,0,2,1,0,2,2,2,0,0
143,2,7,6,0,1,2,0,1,2,2,1,0
144,2,7,7,2,1,1,0,1,2,2,0,1
145,2,7,8,1,1,0,3,2,1,2,1,0
146,2,7,9,0,1,2,0,1,0,2,1,2
147,2,7,10,2,0,2,0,0,2,2,0,0
148,2,7,11,1,2,2,0,2,1,2,1,0
149,2,7,12,2,1,1,0,1,0,2,1,2
150,2,7,13,0,2,1,0,2,1,2,1,1
151,2,7,14,1,1,0,3,2,2,2,1,2
152,2,7,15,1,0,1,0,0,0,2,1,2
153,2,7,16,1,1,0,3,0,0,2,1,2
154,2,8,0,0,0,0,0,0,0,0,0,0
155,2,8,1,1,0,1,0,0,2,1,1,0
156,2,8,2,2,0,2,1,0,0,2,1,0
157,2,8,3,1,1,0,1,1,1,0,1,0
158,2,8,4,2,0,2,1,1,0,2,1,0
159,2,8,5,0,1,2,1,1,1,0,1,0
160,2,8,6,0,2,1,1,2,2,0,1,0
161,2,8,7,1,2,2,1,2,2,1,2,1
162,2,8,8,0,0,0,1,0,0,2,0,2
163,2,8,9,0,2,1,1,1,2,1,0,2
164,2,8,10,1,2,2,0,2,2,1,0,1
165,2,9,0,1,0,1,0,0,0,0,0,0
166,2,9,1,2,0,2,0,0,0,2,2,0
167,2,9,2,1,1,0,0,1,1,0,2,0
168,2,9,3,1,0,1,3,1,0,2,0,0
169,2,9,4,1,2,2,0,2,0,2,0,0
170,2,9,5,0,2,1,0,2,2,2,0,0
171,2,9,6,2,1,1,0,1,2,2,1,0
172,2,9,7,2,0,2,4,2,1,2,1,0
173,2,9,8,1,0,1,4,2,1,2,1,0
174,2,9,9,0,2,1,4,1,0,2,1,2
175,2,9,10,2,0,2,0,0,2,2,1,2
176,2,9,11,1,2,2,0,2,1,2,1,0
177,2,9,12,1,1,0,0,1,0,2,1,2
178,2,9,13,2,1,1,0,1,0,2,1,2
179,2,9,14,1,2,2,2,2,1,2,1,0
180,2,9,15,0,2,1,2,2,0,2,1,2
181,2,10,0,0,0,0,0,0,0,0,0,0
182,2,10,1,0,0,0,0,0,2,1,1,0
183,2,10,2,1,1,0,2,1,2,1,1,0
184,2,10,3,2,0,2,1,0,0,1,2,0
185,2,10,4,0,1,2,1,1,1,1,2,0
186,2,10,5,1,2,2,1,2,2,1,2,0
187,2,10,6,2,0,2,1,0,0,1,0,0
188,2,10,7,2,1,1,1,1,1,1,2,0
189,2,10,8,1,0,1,4,1,1,0,2,0
190,2,10,9,1,1,0,3,0,0,0,1,2
191,2,10,10,0,2,1,4,2,0,2,1,2
192,2,10,11,0,0,0,3,0,2,2,0,1
193,2,10,12,1,0,1,3,1,2,1,0,1
194,2,10,13,2,0,2,4,1,0,2,0,0
195,2,10,14,2,0,2,4,1,1,2,0,0
196,2,10,15,1,2,2,4,1,1,0,1,2
197,3,0,0,2,0,2,0,0,0,0,0,0
198,3,0,1,1,0,1,0,0,1,0,0,0
199,3,0,2,0,0,0,1,1,0,0,2,0
200,3,0,3,1,0,1,0,0,2,0,1,0
201,3,0,4,2,0,2,1,0,0,2,1,0
202,3,0,5,1,1,0,1,1,1,0,1,0
203,3,0,6,0,0,0,1,0,0,2,1,0
204,3,0,7,1,2,2,1,0,2,2,1,1
205,3,0,8,2,0,2,1,1,0,2,1,2
206,3,0,9,2,1,1,1,1,1,2,1,2
207,3,0,10,1,1,0,1,1,1,0,1,0
208,3,0,11,2,0,2,1,0,0,2,1,2
209,3,1,0,2,0,2,0,0,0,0,0,0
210,3,1,1,1,0,1,0,0,1,0,0,0
211,3,1,2,1,0,1,1,1,0,0,2,0
212,3,1,3,0,0,0,3,2,0,2,0,0
213,3,1,4,0,1,2,3,0,2,2,1,0
214,3,1,5,2,0,2,3,1,2,2,0,0
215,3,1,6,2,1,1,3,2,1,0,1,0
216,3,1,7,1,0,1,4,0,1,0,1,0
217,3,1,8,1,1,0,3,1,0,0,1,0
218,3,1,9,0,1,2,3,2,0,2,1,2
219,3,1,10,0,1,2,3,0,2,2,1,1
220,3,2,0,1,1,0,0,1,0,0,0,0
221,3,2,1,2,0,2,0,0,0,2,2,0
222,3,2,2,1,1,0,0,1,1,0,2,0
223,3,2,3,2,0,2,3,1,0,2,0,0
224,3,2,4,1,2,2,3,1,1,0,2,0
225,3,2,5,1,0,1,3,1,0,2,0,0
226,3,2,6,1,0,1,3,0,0,2,0,0
227,3,2,7,1,2,2,2,2,2,2,0,2
228,3,2,8,1,2,2,2,2,2,2,0,2
229,3,2,9,2,2,0,2,2,2,2,0,2
230,3,2,10,1,2,2,2,0,1,2,0,0
231,3,2,11,1,2,2,2,2,0,2,0,2
232,3,2,12,1,2,2,2,0,0,2,0,2
233,3,2,13,1,2,2,2,2,2,2,0,2
234,3,2,14,1,2,2,2,2,2,2,0,2
235,3,3,0,1,2,2,0,2,0,0,0,0
236,3,3,1,2,1,1,0,1,0,2,2,0
237,3,3,2,1,1,0,1,1,1,0,2,0
238,3,3,3,0,0,0,3,1,0,2,0,0
239,3,3,4,2,0,2,0,0,2,2,1,0
240,3,3,5,2,2,0,0,2,1,0,1,0
241,3,3,6,2,2,0,0,2,1,0,1,0
242,3,3,7,2,0,2,4,0,0,0,1,0
243,3,3,8,1,0,1,4,0,0,0,1,0
244,3,3,9,0,0,0,4,2,0,0,1,0
245,3,3,10,0,1,2,4,0,2,0,1,1
246,3,3,11,2,2,0,4,0,2,0,1,2
247,3,3,12,2,0,2,4,2,1,0,1,0
248,3,3,13,1,0,1,4,0,1,0,1,0
249,3,3,14,2,2,0,4,1,0,0,1,2
250,3,3,15,0,0,0,2,0,1,0,1,2
251,3,3,16,2,0,2,2,2,2,0,1,1
